chip_id,lat,lon,city,info
esp8266-15303512,45.630739,11.703086,Carmignano di Brenta,centro nord
_camporovere1,45.880,11.484,Camporovere,centro
_canove1,45.864,11.474,Canove,centro
_carmignano1,45.63749218,11.71378076,Carmignano di Brenta,Brenta
_carmignano4,45.638,11.714,Carmignano di Brenta,Brenta
_carmignano5,45.63342820,11.70480280,Carmignano di Brenta,Via Albbruck
_carmignano6,45.624,11.698,Carmignano di Brenta,Viale Europa
_carmignano7,45.624,11.700,Carmignano di Brenta,Via San Pio X
esp8266-114439976,45.629,11.702,Carmignano di Brenta,Via Martiri
_cittadella1,45.668,11.756,Cittadella,Pozzetto
_cittadella2,45.648,11.768,Cittadella,Via del Lazzaretto
esp8266-14466393,45.566,11.932,Camposampiero,chiesa
esp8266-3977421,45.568,11.930,Camposampiero,Scuola primaria Battisti
esp8266-3977126,45.572,11.932,Camposampiero,comune
_camposampiero3,45.561,11.938,Camposampiero,Via Guido de Rossignoli
_camposanmartino1,45.554,11.812,Campo San Martino,Via I Maggio
_fontaniva1,45.624,11.760,Fontaniva,zona industriale sud
_fontaniva2,45.636,11.756,Fontaniva,chiesa
_fontaniva3,45.640,11.756,Fontaniva,Via dei Bersaglieri
_fontaniva4,45.656,11.740,Fontaniva,Casoni
_fontaniva5,45.636,11.752,Fontaniva,centro
esp8266-4763615,45.5278554,11.5597482,Vicenza,Rotonda
esp8266-14441834,45.47230234,11.61344416,Longare,sud
esp8266-3975945,45.874,11.508,Asiago,Via Trento e Trieste
esp8266-15665472,45.661,11.536,Montecchio Precalcino,Levà
